,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
0,115835,,0,126412
1,116828,,1,125058
2,116285,,2,125290
3,115773,,3,124631
4,116388,,4,124946
5,115549,,5,124675
6,117441,,6,125284
7,118136,,7,124587
8,117160,,8,124993
9,116611,,9,124549
10,116684,,10,125556
11,117562,,11,123809
12,116695,,12,125015
13,117226,,13,124719
14,116402,,14,124320
15,117986,,15,126083
16,117423,,16,124585
17,117861,,17,125088
18,117388,,18,125341
19,118757,,19,124507
20,117733,,20,124264
21,117521,,21,124875
22,117429,,22,124408
23,117670,,23,125293
24,117266,,24,125547
25,116813,,25,125210
26,118043,,26,124366
27,117024,,27,125121
28,117410,,28,124961
29,117180,,29,124362
30,116832,,30,124034
31,118569,,31,124835
32,116860,,32,124701
33,117675,,33,124972
34,117497,,34,125006
35,118967,,35,124183
36,117674,,36,124726
37,117986,,37,124810
38,116832,,38,124901
39,118622,,39,125408
40,117878,,40,125154
41,117603,,41,124839
42,118381,,42,124974
43,117685,,43,125410
44,117068,,44,124080
45,118460,,45,124732
46,117190,,46,123937
47,117164,,47,124067
48,117516,,48,124816
49,118275,,49,123949
50,118567,,50,124256
51,118092,,51,124491
52,118122,,52,125446
53,119418,,53,124965
54,118991,,54,124435
55,118013,,55,124773
56,118138,,56,125377
57,116637,,57,125048
58,117843,,58,124454
59,117887,,59,124963
60,118312,,60,124591
61,117657,,61,124458
62,117488,,62,124660
63,117733,,63,125656
64,118539,,64,124403
65,118754,,65,124384
66,119058,,66,124969
67,118919,,67,125056
68,119570,,68,124438
69,118670,,69,124448
70,118678,,70,125307
71,119300,,71,124615
72,118983,,72,125177
73,119225,,73,123927
74,118507,,74,125282
75,118772,,75,124576
76,119168,,76,124883
77,118052,,77,124724
78,118148,,78,124918
79,117813,,79,125222
80,117808,,80,125714
81,118307,,81,125168
82,118548,,82,125423
83,118896,,83,126463
84,119179,,84,124889
85,119001,,85,125713
86,119605,,86,124975
87,118949,,87,124851
88,118690,,88,125189
89,117915,,89,125056
90,118899,,90,125310
91,118518,,91,125318
92,118410,,92,124756
93,118166,,93,124975
94,118666,,94,124058
95,118210,,95,125019
96,118256,,96,125098
97,118415,,97,124046
98,119769,,98,124877
99,120450,,99,125264
100,119140,,100,124397
101,119067,,101,124962
102,120264,,102,125648
103,118423,,103,124491
104,118043,,104,126025
105,118681,,105,125126
106,121185,,106,125849
107,118239,,107,124746
108,118809,,108,125307
109,119624,,109,124949
110,118664,,110,124422
111,119900,,111,124958
112,119887,,112,124894
113,118135,,113,124927
114,119009,,114,125674
115,119538,,115,126253
116,118276,,116,124749
117,118724,,117,124919
118,118801,,118,125351
119,119611,,119,125038
120,118703,,120,125586
121,118533,,121,124752
122,119791,,122,124888
123,118994,,123,124924
124,119023,,124,124966
125,120203,,125,126203
126,120726,,126,126169
127,119508,,127,125417
128,119101,,128,125276
129,119179,,129,125071
130,119778,,130,124684
131,118290,,131,125757
132,118305,,132,125060
133,118820,,133,125734
134,118899,,134,125281
135,118593,,135,125276
136,118813,,136,124946
137,119640,,137,125114
138,119653,,138,124848
139,119788,,139,125317
140,119052,,140,124989
141,119258,,141,124294
142,119570,,142,125311
143,119973,,143,124677
144,119907,,144,125532
145,120262,,145,124853
146,120315,,146,125036
147,120254,,147,125193
148,119357,,148,125707
149,119998,,149,125467
150,120247,,150,124251
151,120428,,151,124889
152,120253,,152,125307
153,119796,,153,125596
154,120408,,154,125481
155,119919,,155,125342
156,120105,,156,125618
157,118518,,157,126794
158,119196,,158,125652
159,120117,,159,125292
160,120159,,160,124624
161,118452,,161,125164
162,118563,,162,125879
163,120655,,163,125987
164,119092,,164,125389
165,119818,,165,125518
166,118529,,166,125411
167,119350,,167,125401
168,120889,,168,125434
169,119934,,169,125161
170,119683,,170,124717
171,119804,,171,125689
172,120421,,172,125881
173,120281,,173,124715
174,119222,,174,125363
175,119750,,175,125570
176,119413,,176,124802
177,119180,,177,125559
178,119073,,178,125621
179,119582,,179,126147
180,129049,,180,134837
181,146991,,181,151592
182,129400,,182,150575
183,122165,,183,133857
184,130001,,184,136121
185,140204,,185,146149
186,147695,,186,154752
187,154721,,187,162978
188,161289,,188,168022
189,165770,,189,174017
190,167563,,190,176138
191,168469,,191,178008
192,167468,,192,178010
193,167576,,193,176482
194,167224,,194,176151
195,164394,,195,172538
196,163648,,196,170542
197,163274,,197,170645
198,164082,,198,168910
199,160359,,199,166485
200,160558,,200,165865
201,159610,,201,163803
202,158572,,202,161536
203,156544,,203,161335
204,157710,,204,160219
205,154737,,205,160354
206,153002,,206,159870
207,153104,,207,158305
208,151691,,208,157521
209,150194,,209,156557
210,150244,,210,154731
211,148756,,211,153027
212,146483,,212,151162
213,145606,,213,149417
214,145215,,214,145883
215,144868,,215,145479
216,143606,,216,142397
217,142889,,217,140094
218,140324,,218,138793
219,141414,,219,137644
220,138585,,220,136567
221,137371,,221,135550
222,136901,,222,133443
223,134491,,223,134457
224,132009,,224,134991
225,129925,,225,133324
226,128374,,226,133596
227,125990,,227,133684
228,125250,,228,132242
229,123840,,229,132624
230,122087,,230,132773
231,121334,,231,133292
232,120461,,232,133867
233,119967,,233,133545
234,119314,,234,133495
235,119857,,235,134005
236,118475,,236,134493
237,118468,,237,134887
238,120310,,238,135030
239,118497,,239,145241
240,131694,,240,
241,,,241,
242,,,242,
243,123717,,243,137764
244,121780,,244,139467
245,123791,,245,140046
246,123062,,246,140720
247,124136,,247,141394
248,126091,,248,141703
249,125330,,249,142097
250,127014,,250,142590
251,126351,,251,142353
252,129196,,252,143318
253,127633,,253,143725
254,129176,,254,143645
255,129666,,255,144113
256,130508,,256,144321
257,132335,,257,143979
258,131507,,258,142888
259,131181,,259,143720
260,132578,,260,143341
261,131516,,261,143337
262,132063,,262,143154
263,131977,,263,142700
264,131616,,264,143412
265,132136,,265,143646
266,131785,,266,142813
267,131289,,267,143527
268,131255,,268,143795
269,131299,,269,143632
270,130672,,270,143302
271,130632,,271,144236
272,130623,,272,143673
273,130963,,273,144105
274,131569,,274,145185
275,130863,,275,144736
276,131285,,276,145698
277,132135,,277,146428
278,131843,,278,145001
279,132240,,279,146290
280,133727,,280,146598
281,133984,,281,146598
282,134328,,282,147178
283,135429,,283,147528
284,136160,,284,146573
285,136701,,285,147046
286,138110,,286,147816
287,138529,,287,147696
288,138790,,288,147608
289,138841,,289,147789
290,139797,,290,147554
291,138203,,291,147699
292,139543,,292,148911
293,139741,,293,148917
294,138756,,294,148120
295,138977,,295,147454
296,139019,,296,148386
297,139465,,297,147593
298,139186,,298,148668
299,138494,,299,148258
300,138581,,300,148906
301,137848,,301,148995
302,137209,,302,148529
303,137157,,303,149185
304,137304,,304,149677
305,137397,,305,149979
306,137664,,306,149049
307,137700,,307,149943
308,137003,,308,150471
309,138676,,309,151244
310,138128,,310,150518
311,136780,,311,151014
312,138665,,312,152453
313,136942,,313,150524
314,139345,,314,151158
315,141471,,315,151837
316,140407,,316,151671
317,140799,,317,151775
318,140626,,318,151972
319,140313,,319,152327
320,140691,,320,152303
321,141278,,321,151756
322,141331,,322,152930
323,141039,,323,152245
324,140330,,324,151959
325,140684,,325,151501
326,140983,,326,152459
327,140328,,327,152580
328,139645,,328,151719
329,138626,,329,152873
330,139859,,330,152661
331,137854,,331,153528
332,138993,,332,151763
333,137531,,333,152398
334,138382,,334,152561
335,137100,,335,153215
336,136867,,336,152783
337,138252,,337,152849
338,136141,,338,154004
339,135341,,339,152325
340,135651,,340,153884
341,136707,,341,154498
342,136311,,342,154079
343,136011,,343,154394
344,136473,,344,154645
345,136594,,345,154003
346,136765,,346,155007
347,136612,,347,154275
348,137421,,348,154958
349,137321,,349,156017
350,138354,,350,154944
351,138386,,351,155410
352,138621,,352,156297
353,138882,,353,155503
354,138757,,354,155679
355,140432,,355,156127
356,139464,,356,155749
357,140080,,357,155838
358,140167,,358,156185
359,139400,,359,155658
360,139703,,360,156597
361,139200,,361,155141
362,138699,,362,156258
363,137589,,363,156149
364,137626,,364,155379
365,138180,,365,155771
366,138713,,366,156072
367,136530,,367,156013
368,135784,,368,155854
369,136321,,369,156726
370,135582,,370,155581
371,134939,,371,155469
372,134701,,372,155869
373,133754,,373,156785
374,135941,,374,156457
375,135572,,375,156195
376,135757,,376,156344
377,133701,,377,156985
378,134104,,378,155763
379,135509,,379,157040
380,136367,,380,156507
381,136400,,381,156752
382,137162,,382,155980
383,136635,,383,156491
384,137517,,384,155570
385,137197,,385,156031
386,138537,,386,155702
387,138859,,387,156103
388,139647,,388,156311
389,140296,,389,155436
390,139538,,390,156520
391,138834,,391,156379
392,139861,,392,155932
393,140287,,393,155402
394,139970,,394,155010
395,140447,,395,156098
396,137903,,396,155382
397,138172,,397,155439
398,138715,,398,154266
399,138734,,399,154981
400,137629,,400,154891
401,137040,,401,153752
402,136629,,402,155023
403,135035,,403,154257
404,135915,,404,154431
405,135611,,405,153240
406,135891,,406,153954
407,133923,,407,153501
408,134401,,408,153065
409,133704,,409,153734
410,133111,,410,152583
411,133287,,411,153565
412,133088,,412,154196
413,133653,,413,153080
414,135146,,414,153037
415,135073,,415,153003
416,136418,,416,153025
417,135442,,417,153708
418,136584,,418,153088
419,135560,,419,152647
420,137910,,420,152652
421,139211,,421,152679
422,137184,,422,153367
423,139236,,423,152472
424,140480,,424,152316
425,139412,,425,152864
426,139484,,426,152068
427,138813,,427,151894
428,140151,,428,151835
429,139186,,429,152045
430,140158,,430,152023
431,139482,,431,151179
432,139248,,432,152021
433,138389,,433,151832
434,137234,,434,151638
435,137192,,435,152081
436,135895,,436,150535
437,135428,,437,150925
438,134917,,438,149991
439,134993,,439,150954
440,134780,,440,149484
441,133856,,441,148838
442,132957,,442,149944
443,133730,,443,149902
444,131934,,444,151058
445,131975,,445,150175
446,133118,,446,149896
447,132168,,447,150938
448,132507,,448,150536
449,133101,,449,150353
450,134153,,450,149332
451,133462,,451,150299
452,134805,,452,150192
453,135075,,453,150601
454,134663,,454,150765
455,135350,,455,149794
456,136510,,456,150677
457,136318,,457,149430
458,137203,,458,150726
459,137190,,459,150007
460,137960,,460,150527
461,138943,,461,150608
462,138476,,462,150692
463,139348,,463,150996
464,139859,,464,150934
465,139603,,465,151424
466,139053,,466,150652
467,138606,,467,150283
468,138528,,468,149933
469,139086,,469,150235
470,139067,,470,150199
471,138414,,471,150084
472,137633,,472,150229
473,136764,,473,150732
474,136105,,474,149371
475,136264,,475,149585
476,135990,,476,149470
477,134604,,477,150184
478,134933,,478,149729
479,134134,,479,150113
480,133021,,480,150781
481,132846,,481,150329
482,132366,,482,149484
483,132939,,483,151115
484,133145,,484,150603
485,132756,,485,150204
486,133545,,486,150459
487,133380,,487,150002
488,133322,,488,150679
