time (s),NADH,,time(s),ATP (mM),,time (s),DiOC23,,time (s),PBFI
0,147786,,0,2.4143,,0,16852.68,,0,2561
1,147626,,1,2.4147,,1,16854.36,,1,3415
2,147971,,2,2.4118,,2,16869.43,,2,2726
3,147435,,3,2.4031,,3,16846.1101,,3,2638
4,147939,,4,2.4202,,4,16864.7501,,4,4020
5,147723,,5,2.399,,5,16870.8911,,5,2742
6,147764,,6,2.4044,,6,16871.6811,,6,2719
7,148562,,7,2.3994,,7,16862.6412,,7,2221
8,148273,,8,2.3913,,8,16865.2112,,8,3038
9,148869,,9,2.3964,,9,16899.9312,,9,3394
10,148912,,10,2.3991,,10,16888.2112,,10,2336
11,147121,,11,2.3986,,11,16902.3913,,11,2338
12,148025,,12,2.3956,,12,16876.3913,,12,3699
13,147679,,13,2.3955,,13,16895.0413,,13,2299
14,147831,,14,2.3939,,14,16920.8214,,14,3198
15,149369,,15,2.3953,,15,16898.3914,,15,3170
16,148260,,16,2.3925,,16,16901.8614,,16,2453
17,148403,,17,2.394,,17,16929.4314,,17,2600
18,147332,,18,2.3869,,18,16959.6824,,18,3512
19,148049,,19,2.4161,,19,16937.2525,,19,4402
20,147748,,20,2.4018,,20,16995.1825,,20,4224
21,148144,,21,2.4042,,21,16930.7925,,21,2787
22,148041,,22,2.3911,,22,16943.1826,,22,3663
23,147538,,23,2.3904,,23,16998.4326,,23,2883
24,148625,,24,2.3936,,24,16982.2526,,24,3146
25,148734,,25,2.3858,,25,16925.0026,,25,2711
26,147094,,26,2.3768,,26,16990.9627,,26,2429
27,147484,,27,2.3965,,27,16998.8927,,27,2880
28,148144,,28,2.3867,,28,17011.2927,,28,2542
29,149113,,29,2.3992,,29,17026.3627,,29,3542
30,148045,,30,2.378,,30,17023.5738,,30,4819
31,147999,,31,2.3916,,31,16985.9638,,31,3447
32,148855,,32,2.3854,,32,16992.1138,,32,2552
33,148075,,33,2.3818,,33,16969.6838,,33,4673
34,149150,,34,2.4013,,34,17016.0039,,34,3094
35,147925,,35,2.3749,,35,17027.5039,,35,4323
36,147935,,36,2.3878,,36,17049.7139,,36,3556
37,148516,,37,2.3694,,37,16984.434,,37,3270
38,148245,,38,2.379,,38,17025.394,,38,3079
39,148608,,39,2.3729,,39,17019.044,,39,3797
40,148367,,40,2.3852,,40,17038.574,,40,3247
41,149087,,41,2.3737,,41,17017.044,,41,2901
42,148592,,42,2.3783,,42,17017.8241,,42,3112
43,149397,,43,2.3649,,43,17008.7951,,43,4520
44,148603,,44,2.3678,,44,17053.3222,,44,4722
45,149318,,45,2.36,,45,17069.2952,,45,4395
46,149018,,46,2.3617,,46,17063.8252,,46,3430
47,148817,,47,2.38,,47,17036.0452,,47,2232
48,148428,,48,2.3676,,48,17107.3652,,48,2842
49,148023,,49,2.3847,,49,17040.2953,,49,3174
50,148742,,50,2.3664,,50,17042.8653,,50,3970
51,148365,,51,2.3703,,51,17057.9353,,51,2461
52,148914,,52,2.3732,,52,17106.0453,,52,3089
53,148673,,53,2.3658,,53,17067.5454,,53,1626
54,147807,,54,2.368,,54,17026.3654,,54,3063
55,148301,,55,2.3643,,55,17097.6854,,55,2269
56,149262,,56,2.3454,,56,17077.9364,,56,3378
57,148533,,57,2.354,,57,17084.9665,,57,3859
58,148679,,58,2.3589,,58,17185.7565,,58,4421
59,148487,,59,2.362,,59,17107.9665,,59,3496
60,147921,,60,2.3533,,60,17142.6865,,60,2988
61,149323,,61,2.352,,61,17164.0066,,61,3832
62,149019,,62,2.3465,,62,17163.8966,,62,2286
63,148608,,63,2.3327,,63,17134.3266,,63,2947
64,149278,,64,2.3484,,64,17107.4367,,64,3525
65,148299,,65,2.3526,,65,17105.5467,,65,3098
