time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
0,135400,,0,15571,,0,2816
1,135200,,1,15609,,1,3096
2,136450,,2,15573,,2,2501
3,137150,,3,15605,,3,2700
4,137150,,4,15607,,4,2084
5,137000,,5,15565,,5,2784
6,134550,,6,15646,,6,2441
7,135950,,7,15646,,7,2377
8,136700,,8,15652,,8,2861
9,135900,,9,15653,,9,1998
10,136800,,10,15709,,10,3023
11,135500,,11,15656,,11,2502
12,134700,,12,15688,,12,2491
13,136700,,13,15721,,13,2110
14,134650,,14,15702,,14,3391
15,135650,,15,15740,,15,2511
16,136250,,16,15753,,16,2275
17,137550,,17,15771,,17,2648
18,135200,,18,15737,,18,2196
19,136200,,19,15748,,19,2452
20,134950,,20,15729,,20,2396
21,137600,,21,15797,,21,2683
22,131900,,22,15796,,22,2321
23,136050,,23,15790,,23,2359
24,133050,,24,15816,,24,2606
25,135850,,25,15879,,25,2285
26,135350,,26,15851,,26,2202
27,136150,,27,15838,,27,2595
28,136650,,28,15869,,28,2375
29,137100,,29,15887,,29,2008
30,135150,,30,15890,,30,2635
31,134500,,31,15872,,31,2130
32,138500,,32,15900,,32,3174
33,134050,,33,15909,,33,2776
34,135750,,34,15951,,34,2600
35,136300,,35,15929,,35,2974
36,134950,,36,15927,,36,2495
37,135950,,37,15923,,37,2861
38,136400,,38,15930,,38,2090
39,135000,,39,15968,,39,2039
40,136850,,40,15971,,40,2405
41,136950,,41,15953,,41,2356
42,134250,,42,15975,,42,2502
43,136000,,43,15924,,43,2715
44,136600,,44,16004,,44,2246
45,136200,,45,15943,,45,2597
46,133800,,46,15996,,46,2579
47,137200,,47,16029,,47,2419
48,135200,,48,16058,,48,3016
49,136550,,49,16052,,49,2445
50,137900,,50,16041,,50,1959
51,135850,,51,16035,,51,2360
52,135450,,52,16084,,52,2252
53,133700,,53,16036,,53,2637
54,137050,,54,16071,,54,2374
55,137100,,55,16055,,55,2273
56,137350,,56,16077,,56,2118
57,134300,,57,16102,,57,2417
58,135950,,58,16094,,58,2289
59,137250,,59,16092,,59,1745
60,135800,,60,16120,,60,2176
61,136900,,61,16118,,61,1876
62,135650,,62,16137,,62,2526
63,134600,,63,16146,,63,2462
64,134050,,64,16208,,64,2044
65,136700,,65,16221,,65,2314
66,134450,,66,16236,,66,2025
67,134700,,67,16177,,67,2498
68,135150,,68,16271,,68,2472
69,134850,,69,16248,,69,2839
70,136500,,70,16235,,70,2362
71,132450,,71,16198,,71,2725
72,137050,,72,16257,,72,2353
73,137250,,73,16284,,73,2367
74,135400,,74,16206,,74,2245
75,136950,,75,16262,,75,2593
76,135700,,76,16282,,76,1833
77,135550,,77,16273,,77,2357
78,135400,,78,16287,,78,2328
79,135900,,79,16229,,79,2571
80,133600,,80,16305,,80,2734
81,133000,,81,16312,,81,2281
82,134400,,82,16358,,82,2520
83,136050,,83,16338,,83,2664
84,132450,,84,16353,,84,2205
85,133950,,85,16329,,85,2455
86,135750,,86,16341,,86,2195
87,132750,,87,16351,,87,2680
88,133600,,88,16366,,88,2202
89,134800,,89,16368,,89,2414
90,135300,,90,16366,,90,2585
91,133750,,91,16414,,91,2469
92,134750,,92,16352,,92,2363
93,134600,,93,16422,,93,1359
94,133700,,94,16383,,94,1190
95,135350,,95,16396,,95,931
96,134050,,96,16423,,96,1580
97,135200,,97,16466,,97,988
98,133250,,98,16404,,98,1374
99,135600,,99,16467,,99,1620
100,133650,,100,16447,,100,1732
101,132850,,101,16524,,101,1580
102,131850,,102,16518,,102,1477
103,135750,,103,16506,,103,1816
104,134350,,104,16542,,104,1728
105,137050,,105,16554,,105,1537
106,136550,,106,16549,,106,1238
107,134900,,107,16496,,107,1532
108,134500,,108,16555,,108,1825
109,134900,,109,16505,,109,1917
110,135850,,110,16538,,110,1519
111,135950,,111,16575,,111,1673
112,137900,,112,16582,,112,2815
113,136850,,113,16569,,113,2085
114,134850,,114,16577,,114,1984
115,136900,,115,16528,,115,1948
116,134550,,116,16607,,116,2154
117,134000,,117,16621,,117,2177
118,135000,,118,16593,,118,2341
119,133750,,119,16631,,119,1776
120,133900,,120,16638,,120,1903
121,132850,,121,16619,,121,1721
122,134200,,122,16628,,122,2113
123,133750,,123,16681,,123,2232
124,133850,,124,16602,,124,2195
125,132750,,125,16620,,125,1718
126,133200,,126,16693,,126,2804
127,132500,,127,16690,,127,1831
128,133950,,128,16693,,128,2662
129,135950,,129,16687,,129,2461
130,136450,,130,16664,,130,2277
131,135100,,131,16728,,131,1782
132,134050,,132,16710,,132,2537
133,134750,,133,16702,,133,2346
134,133900,,134,16724,,134,2144
135,133950,,135,16770,,135,2476
136,134000,,136,16760,,136,2340
137,133100,,137,16773,,137,1848
138,135950,,138,16784,,138,2511
139,136550,,139,16788,,139,1627
140,135750,,140,16754,,140,2024
141,133650,,141,16795,,141,2776
142,132200,,142,16829,,142,2557
143,135600,,143,16795,,143,2433
144,133200,,144,16835,,144,2855
145,133750,,145,16820,,145,2671
146,134300,,146,16885,,146,2865
147,133750,,147,16851,,147,2887
148,136400,,148,16815,,148,2326
149,134400,,149,16869,,149,2806
150,133850,,150,16857,,150,2316
151,134600,,151,16890,,151,2698
152,134250,,152,16883,,152,3156
153,134500,,153,16905,,153,2224
154,132100,,154,16879,,154,2440
155,132850,,155,16874,,155,2123
156,135200,,156,16939,,156,2516
157,134900,,157,16953,,157,2255
158,132700,,158,16927,,158,2567
159,135600,,159,16937,,159,2394
160,134800,,160,16994,,160,2925
161,136650,,161,16938,,161,1702
162,133450,,162,16970,,162,2404
163,135400,,163,16944,,163,2550
164,136300,,164,17013,,164,2288
165,134100,,165,16994,,165,2404
166,133350,,166,16986,,166,2155
167,132350,,167,16985,,167,2802
168,134950,,168,17028,,168,2520
169,134500,,169,17033,,169,2305
170,133900,,170,17045,,170,2595
171,133700,,171,17069,,171,1640
172,135950,,172,17074,,172,2358
173,135900,,173,17077,,173,2966
174,136450,,174,17050,,174,2693
175,134750,,175,17036,,175,2608
176,137750,,176,17040,,176,2041
177,137400,,177,17079,,177,2059
178,136950,,178,17102,,178,2619
179,138750,,179,17071,,179,
180,135200,,180,17162,,180,2724
181,134950,,181,17203,,181,2420
182,136300,,182,17220,,182,2375
183,139850,,183,17201,,183,2760
184,137050,,184,17101,,184,3001
185,145950,,185,16947,,185,1663
186,147900,,186,16874,,186,1797
187,149200,,187,16831,,187,1954
188,148900,,188,16863,,188,2505
189,146850,,189,16849,,189,1906
190,153650,,190,16859,,190,1613
191,159500,,191,16919,,191,1836
192,160950,,192,16864,,192,1977
193,164700,,193,16935,,193,1505
194,167300,,194,16971,,194,1537
195,169250,,195,16915,,195,1417
196,172350,,196,16934,,196,1212
197,169650,,197,16949,,197,2100
198,172950,,198,16955,,198,2137
199,174900,,199,16951,,199,1538
200,178450,,200,16980,,200,1414
201,176950,,201,16990,,201,2069
202,177550,,202,16988,,202,2189
203,182100,,203,16988,,203,1670
204,180000,,204,16979,,204,2021
205,180600,,205,17031,,205,1800
206,185200,,206,17021,,206,2490
