,"""-nigericin""",,,"""+nicericin"""
time (s),NADH,,time (s),NADH
0,131991,,0,116446
1,132235,,1,115250
2,132287,,2,115936
3,131798,,3,115848
4,131976,,4,115632
5,131932,,5,115526
6,131052,,6,116862
7,132634,,7,115952
8,131949,,8,116086
9,131462,,9,116132
10,130704,,10,116380
11,132082,,11,115547
12,131216,,12,115718
13,132093,,13,115674
14,131387,,14,116883
15,131487,,15,115573
16,131849,,16,116254
17,130119,,17,115168
18,131173,,18,115306
19,132039,,19,115271
20,130576,,20,115437
21,131944,,21,115578
22,130734,,22,116001
23,130792,,23,115393
24,130899,,24,116157
25,130266,,25,115633
26,131730,,26,116508
27,130525,,27,116784
28,130034,,28,116148
29,131302,,29,116426
30,130272,,30,115171
31,131159,,31,116467
32,130357,,32,116089
33,131246,,33,115703
34,131677,,34,115369
35,130073,,35,115601
36,131285,,36,115370
37,130542,,37,115900
38,131316,,38,115974
39,130607,,39,116469
40,131817,,40,116012
41,131292,,41,116835
42,130786,,42,115995
43,130402,,43,116645
44,131713,,44,116212
45,131450,,45,115801
46,129648,,46,116483
47,130843,,47,116397
48,130488,,48,115538
49,131269,,49,115990
50,130631,,50,115981
51,131041,,51,116231
52,129832,,52,115790
53,131191,,53,116163
54,130130,,54,115873
55,130547,,55,115866
56,131945,,56,116443
57,130863,,57,116684
58,131262,,58,116853
59,130049,,59,116414
60,130251,,60,116434
61,130396,,61,116138
62,130142,,62,116834
63,130883,,63,116666
64,131386,,64,115945
65,130303,,65,116025
66,131298,,66,116176
67,131143,,67,115947
68,131392,,68,116957
69,131434,,69,116662
70,130350,,70,116275
71,131372,,71,116504
72,130878,,72,116910
73,130727,,73,117097
74,129925,,74,116323
75,130742,,75,117370
76,130910,,76,117338
77,131774,,77,117090
78,130002,,78,116716
79,130713,,79,116368
80,130891,,80,117437
81,130858,,81,116309
82,130616,,82,117854
83,130782,,83,116698
84,131117,,84,116373
85,130166,,85,117219
86,130908,,86,116561
87,131083,,87,117314
88,131248,,88,117067
89,131333,,89,117159
90,131032,,90,116891
91,131114,,91,117087
92,130936,,92,117047
93,131326,,93,116299
94,130982,,94,116698
95,131006,,95,116974
96,131288,,96,117338
97,130714,,97,117510
98,131274,,98,117806
99,132045,,99,117301
100,130748,,100,117591
101,130424,,101,117119
102,130660,,102,117326
103,130780,,103,117282
104,131003,,104,116572
105,130396,,105,117250
106,131031,,106,116881
107,130668,,107,117193
108,131209,,108,116869
109,131624,,109,117031
110,130666,,110,116149
111,130308,,111,116692
112,131242,,112,117360
113,131329,,113,117439
114,131241,,114,118255
115,130469,,115,118689
116,131590,,116,119994
117,130817,,117,119725
118,130923,,118,120199
119,130744,,119,121372
120,131338,,120,122887
121,130839,,121,122617
122,131687,,122,124213
123,130627,,123,123132
124,131345,,124,123187
125,131031,,125,124628
126,131190,,126,124729
127,131200,,127,124044
128,131605,,128,125201
129,131570,,129,125712
130,131254,,130,125245
131,130690,,131,125046
132,130517,,132,125559
133,130943,,133,125787
134,131360,,134,126202
135,131636,,135,125917
136,132442,,136,125525
137,131776,,137,126388
138,131756,,138,125985
139,130434,,139,125767
140,130499,,140,126402
141,131593,,141,126167
142,131179,,142,126408
143,132057,,143,127136
144,130294,,144,125938
145,130695,,145,126702
146,131415,,146,126530
147,131255,,147,126337
148,131619,,148,126665
149,132915,,149,126773
150,131675,,150,126787
151,131466,,151,127380
152,131095,,152,127726
153,131567,,153,127964
154,130612,,154,128265
155,131296,,155,127288
156,131647,,156,128177
157,131884,,157,127589
158,131096,,158,127345
159,130636,,159,127531
160,131664,,160,127358
161,131147,,161,127266
162,131999,,162,127438
163,130789,,163,126837
164,131719,,164,127689
165,131376,,165,127664
166,132003,,166,127840
167,131945,,167,127606
168,131161,,168,127400
169,131864,,169,127170
170,131380,,170,127151
171,131152,,171,127006
172,132469,,172,127655
173,132309,,173,127308
174,133086,,174,127514
175,131801,,175,128313
176,131546,,176,127702
177,131679,,177,127220
178,131706,,178,127059
179,133101,,179,127825
180,131492,,180,127445
181,147048,,181,128137
182,168102,,182,127699
183,161442,,183,127057
184,137228,,184,127695
185,142109,,185,127476
186,152933,,186,127522
187,162877,,187,127660
188,169991,,188,127622
189,175266,,189,127475
190,180525,,190,128017
191,182870,,191,127511
192,185077,,192,127948
193,186190,,193,128555
194,186070,,194,127976
195,187598,,195,127390
196,186990,,196,127286
197,186808,,197,128454
198,185867,,198,127699
199,185216,,199,128456
200,183881,,200,128940
201,182374,,201,128737
202,179710,,202,128155
203,178221,,203,127820
204,178785,,204,128339
205,176012,,205,127969
206,176030,,206,127971
207,175245,,207,128405
208,172147,,208,128095
209,171458,,209,128659
210,170024,,210,148892
211,168474,,211,150082
212,166331,,212,133361
213,165896,,213,130810
214,164439,,214,143442
215,164478,,215,154653
216,163096,,216,163084
217,161037,,217,168807
218,161625,,218,173544
219,158789,,219,176280
220,156087,,220,177646
221,156273,,221,177840
222,155103,,222,177200
223,153322,,223,176722
224,151246,,224,175912
225,151200,,225,174242
226,149305,,226,174053
227,148244,,227,170948
228,146936,,228,170554
229,145091,,229,168837
230,143923,,230,168900
231,144690,,231,167971
232,142954,,232,166492
233,141717,,233,165172
234,141545,,234,164373
235,142030,,235,162007
236,141450,,236,162189
237,140810,,237,159443
238,140636,,238,158917
239,139988,,239,157631
240,139550,,240,157196
241,141345,,241,155740
242,162844,,242,155398
243,160339,,243,153515
244,156843,,244,153692
245,141574,,245,150396
246,142570,,246,150437
247,141781,,247,148353
248,142520,,248,146906
249,143394,,249,146440
250,144181,,250,145280
251,143562,,251,144371
252,143646,,252,142404
253,144534,,253,140454
254,145256,,254,138563
255,145482,,255,137977
256,144541,,256,136829
257,146477,,257,135345
258,145890,,258,134219
259,145490,,259,131645
260,146888,,260,130354
261,146150,,261,128623
262,147896,,262,128266
263,146840,,263,128221
264,147167,,264,127006
265,147707,,265,125446
266,147780,,266,125378
267,147813,,267,126350
268,148461,,268,124059
269,147217,,269,145197
270,148569,,270,146863
271,148106,,271,132081
272,148442,,272,125957
273,148198,,273,125049
274,148115,,274,125751
275,148317,,275,125000
276,147941,,276,125849
277,148656,,277,126984
278,148555,,278,126175
279,148802,,279,126756
280,149544,,280,126962
281,149628,,281,128509
282,149677,,282,127855
283,149366,,283,127534
284,149992,,284,128856
285,150787,,285,128602
286,150813,,286,129341
287,150765,,287,129550
288,151111,,288,130171
289,152159,,289,130446
290,152959,,290,130575
291,152946,,291,131615
292,152069,,292,130771
293,152063,,293,131699
294,152482,,294,131320
295,152923,,295,131177
296,153117,,296,132494
297,153902,,297,131485
298,154017,,298,133165
299,154881,,299,131748
300,154655,,300,131677
301,154387,,301,132326
302,154639,,302,132446
303,155121,,303,133339
304,155017,,304,132901
305,154161,,305,132708
306,154621,,306,132994
307,155003,,307,132301
308,154040,,308,133453
309,155535,,309,133284
310,154822,,310,133066
311,155299,,311,133286
312,155549,,312,133737
313,156207,,313,132877
314,156189,,314,134855
315,156371,,315,135014
316,156074,,316,134756
317,155215,,317,136043
318,154665,,318,135167
319,155512,,319,136395
320,156172,,320,136259
321,155819,,321,136760
322,156405,,322,137677
323,155683,,323,137421
324,156369,,324,137845
325,156626,,325,138447
326,156808,,326,138057
327,156918,,327,138639
328,158081,,328,138584
329,156951,,329,138628
330,156398,,330,139170
331,156129,,331,138248
332,156303,,332,138840
333,156236,,333,139052
334,156424,,334,137950
335,155977,,335,138541
336,156979,,336,138732
337,155716,,337,138841
338,155908,,338,138464
339,156698,,339,138045
340,156344,,340,138080
341,155242,,341,138714
342,155538,,342,138132
343,155480,,343,137913
344,154483,,344,137394
345,155385,,345,137853
346,155059,,346,138485
347,155547,,347,138088
348,154073,,348,139089
349,154290,,349,139458
350,154658,,350,139646
351,155374,,351,139774
352,154566,,352,139362
353,154668,,353,139243
354,154079,,354,139401
355,154978,,355,139965
356,154595,,356,139945
357,154606,,357,140043
358,155134,,358,140436
359,154334,,359,140187
360,155448,,360,139913
361,155563,,361,140477
362,155011,,362,139923
363,155045,,363,140371
364,155206,,364,140217
365,155205,,365,139424
366,155207,,366,139040
367,155707,,367,139236
368,154684,,368,139495
369,156431,,369,138006
370,155965,,370,138126
371,155688,,371,137603
372,154662,,372,137205
373,154462,,373,137151
374,155133,,374,136612
375,154482,,375,137371
376,154187,,376,137083
377,154569,,377,136674
378,155836,,378,136512
379,154631,,379,136768
380,154622,,380,136792
381,153578,,381,136676
382,154632,,382,136590
383,154040,,383,137203
384,154268,,384,137427
385,154151,,385,137647
386,153724,,386,137724
387,154577,,387,137918
388,153968,,388,138572
389,153538,,389,138995
390,153755,,390,138823
391,154036,,391,139556
392,153978,,392,139279
393,154167,,393,138801
394,155076,,394,139046
395,156118,,395,140151
396,156392,,396,139326
397,154934,,397,140244
398,155097,,398,138976
399,155385,,399,139505
400,156007,,400,139375
401,154704,,401,137876
402,156646,,402,138850
403,155470,,403,139167
404,155623,,404,138515
405,155924,,405,138250
406,155961,,406,137562
407,155935,,407,137253
408,155923,,408,136850
409,156268,,409,136892
410,156321,,410,136671
411,155209,,411,136735
412,156567,,412,136570
413,155018,,413,135870
414,155672,,414,136106
415,155955,,415,137201
416,156049,,416,137209
417,156123,,417,137335
418,155919,,418,136843
419,155107,,419,137610
420,156317,,420,138059
421,155119,,421,138145
422,155519,,422,138126
423,155676,,423,139147
424,155797,,424,139927
425,156224,,425,139850
426,155584,,426,140139
427,155437,,427,139819
428,155577,,428,140206
429,156086,,429,141665
430,155851,,430,140547
431,156944,,431,140781
432,156268,,432,141127
433,156327,,433,141735
434,154929,,434,141407
435,156082,,435,141425
436,156564,,436,141191
437,155781,,437,140560
438,155132,,438,141067
439,155008,,439,140851
440,156109,,440,139883
441,155628,,441,139929
442,155915,,442,139507
443,156147,,443,139697
444,155515,,444,139007
445,157303,,445,139066
446,156283,,446,138586
447,155563,,447,138355
448,156075,,448,138532
449,155231,,449,137417
450,156169,,450,137461
451,156632,,451,138255
452,155954,,452,138133
453,156140,,453,136964
454,155829,,454,138147
455,156290,,455,138049
456,155265,,456,138599
457,155021,,457,137968
458,155452,,458,139220
459,156121,,459,138466
460,155528,,460,140144
461,156537,,461,139582
462,154977,,462,140098
463,154723,,463,139738
464,154757,,464,140246
465,154717,,465,140564
466,155764,,466,140914
467,154853,,467,140639
468,154749,,468,141337
469,155309,,469,141008
470,156139,,470,141035
471,155374,,471,141405
472,154865,,472,140558
473,154546,,473,141889
474,155168,,474,140733
475,156028,,475,139966
476,154870,,476,140317
477,154013,,477,140300
478,154850,,478,139592
479,155684,,479,139370
480,154970,,480,139431
481,155678,,481,138579
482,155307,,482,138764
483,155998,,483,137376
484,156216,,484,138701
485,155554,,485,137313
486,155035,,486,136170
487,156223,,487,137333
488,155811,,488,136877
489,155524,,489,136897
490,155892,,490,137133
491,155648,,491,138303
492,154041,,492,137919
493,154681,,493,137453
494,155366,,494,137317
495,156188,,495,137446
496,155797,,496,137519
497,156029,,497,136923
498,153912,,498,137345
499,154905,,499,137449
500,155750,,500,138915
501,155503,,501,138233
502,154480,,502,137879
503,154842,,503,137461
504,154322,,504,139037
505,154909,,505,138516
506,155464,,506,138180
507,154916,,507,138738
508,154641,,508,138361
509,155352,,509,138487
510,155466,,510,139019
511,154444,,511,138007
512,153728,,512,138276
513,155155,,513,138947
514,155072,,514,138718
515,154643,,515,138426
516,154806,,516,138375
517,154036,,517,138412
518,155136,,518,137937
519,154594,,519,137707
520,154659,,520,138265
521,154648,,521,137851
522,155291,,522,138259
523,154051,,523,137091
524,155840,,524,137233
525,153930,,525,137071
526,155113,,526,136638
527,155059,,527,137111
528,154761,,528,136728
529,153907,,529,136358
530,155772,,530,136342
531,153836,,531,137402
532,153906,,532,136825
533,155352,,533,137466
534,155046,,534,137612
535,154768,,535,138163
536,154763,,536,137962
537,155018,,537,138226
538,155284,,538,138888
539,154617,,539,137681
540,154858,,540,138203
541,154272,,541,137205
542,154113,,542,137724
543,155723,,543,138328
544,154480,,544,138160
545,155925,,545,138467
546,155201,,546,138105
547,155171,,547,138506
548,154571,,548,137671
549,154558,,549,138889
550,155471,,550,137621
551,155320,,551,139159
