,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
500,0.53033225,0.991111801,0.623205016,0.371763242,,500,0.480632539,1.001570114,0.64092455,0.407494558,,500,0.597570434,0.975255428,0.6008435,0.371483363
501,0.611694286,1.003296566,0.617450335,0.335565461,,501,0.451232436,1.018375474,0.64092455,0.512224572,,501,0.579998433,0.989133366,0.577798235,0.423990509
502,0.480632539,1.001570114,0.64092455,0.407494558,,502,0.418216343,1.004452754,0.64092455,0.615904353,,502,0.557390517,0.989619963,0.557772293,0.477547637
503,0.597570434,0.975255428,0.6008435,0.371483363,,503,0.390285811,0.962666122,0.64092455,0.709296883,,503,0.532977131,0.977098637,0.541772859,0.531531919
504,0.448410905,0.923066793,0.671648068,0.451062506,,504,0.373394347,0.900083185,0.64092455,0.785993325,,504,0.509772654,0.952233855,0.530255078,0.585323987
505,0.30388028,0.959879984,0.586914488,0.419809267,,505,0.369466278,0.825356565,0.64092455,0.843599988,,505,0.490333607,0.915963735,0.523127257,0.63830223
506,0.330847847,0.921403078,0.620812457,0.470560796,,506,0.377034564,0.74631027,0.64092455,0.883091507,,506,0.476590197,0.869505468,0.519838987,0.689844767
507,0.217459493,0.856493217,0.685671204,0.529802011,,507,0.392791328,0.668692653,0.64092455,0.907311119,,507,0.469752445,0.814354363,0.51953462,0.739331051
508,0.400178889,0.904231145,0.653440462,0.53092153,,508,0.41300841,0.596035572,0.64092455,0.91961603,,508,0.470287122,0.752261997,0.521237892,0.786138049
509,0.202567496,0.852474007,0.697719183,0.519912926,,509,0.434390528,0.530097984,0.64092455,0.923072617,,509,0.47795726,0.6851853,0.524026992,0.829631052
510,0.300403522,0.795414348,0.639749013,0.610500674,,510,0.454406336,0.471443146,0.64092455,0.920144301,,510,0.491912126,0.615205069,0.527164691,0.869153753
511,0.252412456,0.740095647,0.628217669,0.61441899,,511,0.471302965,0.41992601,0.64092455,0.912669396,,511,0.510812371,0.544418987,0.530162464,0.904024167
512,0.225180599,0.684896785,0.753356103,0.591842023,,512,0.483982099,0.375034155,0.64092455,0.901959708,,512,0.532973523,0.474820633,0.532775491,0.933541588
513,0.287757306,0.611761863,0.710925821,0.631771535,,513,0.491842572,0.336100722,0.64092455,0.888923873,,513,0.556511724,0.408180972,0.534941537,0.95700615
514,0.364584447,0.563175352,0.699456205,0.556390588,,514,0.494637042,0.302426586,0.64092455,0.874174743,,514,0.579479073,0.345950476,0.536687324,0.973748852
515,0.412458993,0.53265278,0.72153653,0.602570747,,515,0.492357875,0.27334484,0.64092455,0.858110075,,515,0.599981369,0.289196935,0.538029586,0.98316769
516,0.436946386,0.542498494,0.784029876,0.518886701,,516,0.485152679,0.248251077,0.64092455,0.840968617,,516,0.616276704,0.238586604,0.538895364,0.984765452
517,0.427764675,0.521998211,0.788110425,0.528775785,,517,0.473264794,0.226614473,0.64092455,0.822867586,,517,0.626857245,0.194406969,0.539078941,0.978185907
518,0.469999269,0.492226462,0.817991247,0.504426247,,518,0.456993251,0.207978685,0.64092455,0.803827635,,518,0.630517497,0.156621313,0.538243478,0.963246495
519,0.565348091,0.459723622,0.769696784,0.499574997,,519,0.43666745,0.191957758,0.64092455,0.783790309,,519,0.626410501,0.12494087,0.535965638,0.939966174
520,0.459969814,0.454117019,0.778997071,0.506851871,,520,0.41263301,0.178229972,0.64092455,0.762631712,,520,0.614090288,0.098900421,0.53181303,0.908586678
521,0.575424012,0.434263796,0.822703847,0.504426247,,521,0.385246231,0.166531211,0.64092455,0.740175077,,521,0.59353633,0.077926734,0.525438237,0.869584457
522,0.746727967,0.460816127,0.79337538,0.494630455,,522,0.354875438,0.156648717,0.64092455,0.716204121,,522,0.565154945,0.061394455,0.516670625,0.823669639
523,0.733340844,0.438966558,0.810485439,0.548740541,,523,0.321907984,0.148415646,0.64092455,0.690478531,,523,0.529754218,0.048668959,0.505588313,0.771768349
524,0.723167463,0.445857948,0.733085345,0.361967451,,524,0.286761941,0.14170667,0.64092455,0.662752513,,524,0.488492433,0.039139065,0.492557415,0.714986016
525,0.641215674,0.544266693,0.738210361,0.501627449,,525,0.249901463,0.136434713,0.64092455,0.632796913,,525,0.442804506,0.032243977,0.478232743,0.654552139
526,0.652279513,0.540105836,0.780311807,0.296475588,,526,0.211854556,0.132548899,0.64092455,0.600424988,,526,0.394315257,0.02749866,0.463521884,0.591750864
527,0.871063925,0.579108298,0.677195018,0.32866176,,527,0.173231389,0.13003372,0.64092455,0.565521276,,527,0.344751465,0.024520831,0.449520971,0.527845568
528,0.794131104,0.574963518,0.621373298,0.441266715,,528,0.134740602,0.128909488,0.64092455,0.528072168,,528,0.295865668,0.023061529,0.437434094,0.464008312
529,0.802856157,0.664851622,0.591352552,0.378200477,,529,0.097200273,0.129234049,0.64092455,0.48819574,,529,0.249382979,0.023040235,0.428488239,0.401265495
530,0.767347029,0.677940311,0.606048133,0.305525034,,530,0.061539665,0.13110578,0.64092455,0.446167294,,530,0.206978049,0.024584747,0.423852433,0.340469164
531,0.883809555,0.72183828,0.598424945,0.383331606,,531,0.028787921,0.134667794,0.64092455,0.402436074,,531,0.170283037,0.028075009,0.424564329,0.282299711
532,0.78020725,0.786315717,0.555585538,0.228931274,,532,4.68E-05,0.140113252,0.64092455,0.357628298,,532,0.140919876,0.034188173,0.431461663,0.227301117
533,0.752263823,0.800993739,0.485268924,0.238260599,,533,-0.023553545,0.147691531,0.64092455,0.312532372,,533,0.120541517,0.043938316,0.445111543,0.175945127
534,0.676029989,0.794102159,0.521541392,0.37055043,,534,-0.040912933,0.157714861,0.64092455,0.26806428,,534,0.110857437,0.05869772,0.465729382,0.128715832
535,0.737052327,0.82701986,0.449558004,0.42419405,,535,-0.051029098,0.170564847,0.64092455,0.225214711,,535,0.113609306,0.080177535,0.493083169,0.0862004
536,0.728748705,0.866150569,0.444621375,0.362060744,,536,-0.053066102,0.186698008,0.64092455,0.184983805,,536,0.130456337,0.110336081,0.526389674,0.049164705
